CODE POSTAL,Département,Région
62720,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
80480,SOMME,PICARDIE
31160,HAUTE-GARONNE,MIDI-PYRENEES
34570,HERAULT,LANGUEDOC-ROUSSILLON
14700,CALVADOS,BASSE-NORMANDIE
73270,SAVOIE,RHONE-ALPES
25260,DOUBS,FRANCHE-COMTE
16300,CHARENTE,POITOU-CHARENTES
24510,DORDOGNE,AQUITAINE
31600,HAUTE-GARONNE,MIDI-PYRENEES
9000,ARIEGE,MIDI-PYRENEES
10220,AUBE,CHAMPAGNE-ARDENNE
60810,OISE,PICARDIE
23700,CREUSE,LIMOUSIN
86300,VIENNE,POITOU-CHARENTES
81150,TARN,MIDI-PYRENEES
46150,LOT,MIDI-PYRENEES
40990,LANDES,AQUITAINE
69890,RHONE,RHONE-ALPES
10500,AUBE,CHAMPAGNE-ARDENNE
34480,HERAULT,LANGUEDOC-ROUSSILLON
89660,YONNE,BOURGOGNE
67490,BAS-RHIN,ALSACE
27150,EURE,HAUTE-NORMANDIE
85660,VENDEE,PAYS DE LA LOIRE
63320,PUY-DE-DOME,AUVERGNE
77520,SEINE-ET-MARNE,ILE-DE-FRANCE
62128,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
51130,MARNE,CHAMPAGNE-ARDENNE
91720,ESSONNE,ILE-DE-FRANCE
10700,AUBE,CHAMPAGNE-ARDENNE
77970,SEINE-ET-MARNE,ILE-DE-FRANCE
38930,ISERE,RHONE-ALPES
40320,LANDES,AQUITAINE
50670,MANCHE,BASSE-NORMANDIE
27700,EURE,HAUTE-NORMANDIE
59158,NORD,NORD-PAS-DE-CALAIS
10110,AUBE,CHAMPAGNE-ARDENNE
51120,MARNE,CHAMPAGNE-ARDENNE
36800,INDRE,CENTRE
65370,HAUTES-PYRENEES,MIDI-PYRENEES
49330,MAINE-ET-LOIRE,PAYS DE LA LOIRE
63260,PUY-DE-DOME,AUVERGNE
58000,NIEVRE,BOURGOGNE
52160,HAUTE-MARNE,CHAMPAGNE-ARDENNE
32340,GERS,MIDI-PYRENEES
1710,AIN,RHONE-ALPES
15110,CANTAL,AUVERGNE
60240,OISE,PICARDIE
52500,HAUTE-MARNE,CHAMPAGNE-ARDENNE
39270,JURA,FRANCHE-COMTE
26220,DROME,RHONE-ALPES
27440,EURE,HAUTE-NORMANDIE
41200,LOIR-ET-CHER,CENTRE
50290,MANCHE,BASSE-NORMANDIE
2400,AISNE,PICARDIE
71490,SAONE-ET-LOIRE,BOURGOGNE
17490,CHARENTE-MARITIME,POITOU-CHARENTES
21310,COTE-D'OR,BOURGOGNE
32300,GERS,MIDI-PYRENEES
78490,YVELINES,ILE-DE-FRANCE
62250,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
18160,CHER,CENTRE
48150,LOZERE,LANGUEDOC-ROUSSILLON
80620,SOMME,PICARDIE
10500,AUBE,CHAMPAGNE-ARDENNE
35210,ILLE-ET-VILAINE,BRETAGNE
17350,CHARENTE-MARITIME,POITOU-CHARENTES
39130,JURA,FRANCHE-COMTE
82400,TARN-ET-GARONNE,MIDI-PYRENEES
39350,JURA,FRANCHE-COMTE
32810,GERS,MIDI-PYRENEES
80420,SOMME,PICARDIE
26310,DROME,RHONE-ALPES
28140,EURE-ET-LOIR,CENTRE
67500,BAS-RHIN,ALSACE
30290,GARD,LANGUEDOC-ROUSSILLON
31370,HAUTE-GARONNE,MIDI-PYRENEES
34800,HERAULT,LANGUEDOC-ROUSSILLON
26110,DROME,RHONE-ALPES
21700,COTE-D'OR,BOURGOGNE
87230,HAUTE-VIENNE,LIMOUSIN
64120,PYRENEES-ATLANTIQUES,AQUITAINE
67370,BAS-RHIN,ALSACE
19360,CORREZE,LIMOUSIN
62132,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
55220,MEUSE,LORRAINE
51230,MARNE,CHAMPAGNE-ARDENNE
45400,LOIRET,CENTRE
12540,AVEYRON,MIDI-PYRENEES
59230,NORD,NORD-PAS-DE-CALAIS
88390,VOSGES,LORRAINE
55120,MEUSE,LORRAINE
53970,MAYENNE,PAYS DE LA LOIRE
54800,MEURTHE-ET-MOSELLE,LORRAINE
30500,GARD,LANGUEDOC-ROUSSILLON
85480,VENDEE,PAYS DE LA LOIRE
76850,SEINE-MARITIME,HAUTE-NORMANDIE
47430,LOT-ET-GARONNE,AQUITAINE
23170,CREUSE,LIMOUSIN
72200,SARTHE,PAYS DE LA LOIRE
76190,SEINE-MARITIME,HAUTE-NORMANDIE
2500,AISNE,PICARDIE
20217,HAUTE-CORSE,CORSE
55200,MEUSE,LORRAINE
40110,LANDES,AQUITAINE
71390,SAONE-ET-LOIRE,BOURGOGNE
29120,FINISTERE,BRETAGNE
24330,DORDOGNE,AQUITAINE
64640,PYRENEES-ATLANTIQUES,AQUITAINE
9500,ARIEGE,MIDI-PYRENEES
86200,VIENNE,POITOU-CHARENTES
69800,RHONE,RHONE-ALPES
52800,HAUTE-MARNE,CHAMPAGNE-ARDENNE
60420,OISE,PICARDIE
16310,CHARENTE,POITOU-CHARENTES
35890,ILLE-ET-VILAINE,BRETAGNE
39240,JURA,FRANCHE-COMTE
34360,HERAULT,LANGUEDOC-ROUSSILLON
27830,EURE,HAUTE-NORMANDIE
27270,EURE,HAUTE-NORMANDIE
71620,SAONE-ET-LOIRE,BOURGOGNE
7160,ARDECHE,RHONE-ALPES
72210,SARTHE,PAYS DE LA LOIRE
24270,DORDOGNE,AQUITAINE
58450,NIEVRE,BOURGOGNE
13230,BOUCHES-DU-RHONE,PROVENCE-ALPES-COTE D'AZUR
76910,SEINE-MARITIME,HAUTE-NORMANDIE
37160,INDRE-ET-LOIRE,CENTRE
88600,VOSGES,LORRAINE
54570,MEURTHE-ET-MOSELLE,LORRAINE
14620,CALVADOS,BASSE-NORMANDIE
87350,HAUTE-VIENNE,LIMOUSIN
55290,MEUSE,LORRAINE
84400,VAUCLUSE,PROVENCE-ALPES-COTE D'AZUR
85130,VENDEE,PAYS DE LA LOIRE
61110,ORNE,BASSE-NORMANDIE
15200,CANTAL,AUVERGNE
78550,YVELINES,ILE-DE-FRANCE
59570,NORD,NORD-PAS-DE-CALAIS
27250,EURE,HAUTE-NORMANDIE
40300,LANDES,AQUITAINE
36230,INDRE,CENTRE
68500,HAUT-RHIN,ALSACE
32100,GERS,MIDI-PYRENEES
22400,COTES-D'ARMOR,BRETAGNE
37230,INDRE-ET-LOIRE,CENTRE
43500,HAUTE-LOIRE,AUVERGNE
80600,SOMME,PICARDIE
2140,AISNE,PICARDIE
6440,ALPES-MARITIMES,PROVENCE-ALPES-COTE D'AZUR
24130,DORDOGNE,AQUITAINE
51130,MARNE,CHAMPAGNE-ARDENNE
57320,MOSELLE,LORRAINE
58230,NIEVRE,BOURGOGNE
5200,HAUTES-ALPES,PROVENCE-ALPES-COTE D'AZUR
56140,MORBIHAN,BRETAGNE
50000,MANCHE,BASSE-NORMANDIE
45260,LOIRET,CENTRE
2250,AISNE,PICARDIE
19140,CORREZE,LIMOUSIN
62610,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
21310,COTE-D'OR,BOURGOGNE
88310,VOSGES,LORRAINE
41310,LOIR-ET-CHER,CENTRE
77520,SEINE-ET-MARNE,ILE-DE-FRANCE
95770,VAL-D'OISE,ILE-DE-FRANCE
10500,AUBE,CHAMPAGNE-ARDENNE
16500,CHARENTE,POITOU-CHARENTES
2360,AISNE,PICARDIE
57185,MOSELLE,LORRAINE
78550,YVELINES,ILE-DE-FRANCE
78490,YVELINES,ILE-DE-FRANCE
70000,HAUTE-SAONE,FRANCHE-COMTE
2140,AISNE,PICARDIE
55150,MEUSE,LORRAINE
40180,LANDES,AQUITAINE
76560,SEINE-MARITIME,HAUTE-NORMANDIE
84360,VAUCLUSE,PROVENCE-ALPES-COTE D'AZUR
89420,YONNE,BOURGOGNE
79320,DEUX-SEVRES,POITOU-CHARENTES
51130,MARNE,CHAMPAGNE-ARDENNE
28700,EURE-ET-LOIR,CENTRE
57320,MOSELLE,LORRAINE
20246,HAUTE-CORSE,CORSE
2420,AISNE,PICARDIE
69620,RHONE,RHONE-ALPES
25260,DOUBS,FRANCHE-COMTE
20222,HAUTE-CORSE,CORSE
78960,YVELINES,ILE-DE-FRANCE
25190,DOUBS,FRANCHE-COMTE
54210,MEURTHE-ET-MOSELLE,LORRAINE
71740,SAONE-ET-LOIRE,BOURGOGNE
79270,DEUX-SEVRES,POITOU-CHARENTES
20272,HAUTE-CORSE,CORSE
66490,PYRENEES-ORIENTALES,LANGUEDOC-ROUSSILLON
54610,MEURTHE-ET-MOSELLE,LORRAINE
75007,PARIS,ILE-DE-FRANCE
24130,DORDOGNE,AQUITAINE
26110,DROME,RHONE-ALPES
32110,GERS,MIDI-PYRENEES
58210,NIEVRE,BOURGOGNE
46160,LOT,MIDI-PYRENEES
73500,SAVOIE,RHONE-ALPES
23190,CREUSE,LIMOUSIN
63500,PUY-DE-DOME,AUVERGNE
39230,JURA,FRANCHE-COMTE
54110,MEURTHE-ET-MOSELLE,LORRAINE
38440,ISERE,RHONE-ALPES
23000,CREUSE,LIMOUSIN
6910,ALPES-MARITIMES,PROVENCE-ALPES-COTE D'AZUR
50310,MANCHE,BASSE-NORMANDIE
34130,HERAULT,LANGUEDOC-ROUSSILLON
49490,MAINE-ET-LOIRE,PAYS DE LA LOIRE
50750,MANCHE,BASSE-NORMANDIE
54380,MEURTHE-ET-MOSELLE,LORRAINE
58190,NIEVRE,BOURGOGNE
21150,COTE-D'OR,BOURGOGNE
64120,PYRENEES-ATLANTIQUES,AQUITAINE
85320,VENDEE,PAYS DE LA LOIRE
95530,VAL-D'OISE,ILE-DE-FRANCE
34230,HERAULT,LANGUEDOC-ROUSSILLON
2200,AISNE,PICARDIE
30750,GARD,LANGUEDOC-ROUSSILLON
10500,AUBE,CHAMPAGNE-ARDENNE
81290,TARN,MIDI-PYRENEES
2160,AISNE,PICARDIE
72200,SARTHE,PAYS DE LA LOIRE
80500,SOMME,PICARDIE
52700,HAUTE-MARNE,CHAMPAGNE-ARDENNE
21310,COTE-D'OR,BOURGOGNE
10320,AUBE,CHAMPAGNE-ARDENNE
39120,JURA,FRANCHE-COMTE
60250,OISE,PICARDIE
14400,CALVADOS,BASSE-NORMANDIE
51300,MARNE,CHAMPAGNE-ARDENNE
46700,LOT,MIDI-PYRENEES
64780,PYRENEES-ATLANTIQUES,AQUITAINE
11240,AUDE,LANGUEDOC-ROUSSILLON
64370,PYRENEES-ATLANTIQUES,AQUITAINE
27190,EURE,HAUTE-NORMANDIE
52120,HAUTE-MARNE,CHAMPAGNE-ARDENNE
25640,DOUBS,FRANCHE-COMTE
64300,PYRENEES-ATLANTIQUES,AQUITAINE
64260,PYRENEES-ATLANTIQUES,AQUITAINE
74130,HAUTE-SAVOIE,RHONE-ALPES
27300,EURE,HAUTE-NORMANDIE
52210,HAUTE-MARNE,CHAMPAGNE-ARDENNE
30250,GARD,LANGUEDOC-ROUSSILLON
71480,SAONE-ET-LOIRE,BOURGOGNE
85770,VENDEE,PAYS DE LA LOIRE
50510,MANCHE,BASSE-NORMANDIE
3420,ALLIER,AUVERGNE
34260,HERAULT,LANGUEDOC-ROUSSILLON
50300,MANCHE,BASSE-NORMANDIE
54700,MEURTHE-ET-MOSELLE,LORRAINE
62140,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
62130,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
64330,PYRENEES-ATLANTIQUES,AQUITAINE
82400,TARN-ET-GARONNE,MIDI-PYRENEES
78910,YVELINES,ILE-DE-FRANCE
2330,AISNE,PICARDIE
21110,COTE-D'OR,BOURGOGNE
45300,LOIRET,CENTRE
3390,ALLIER,AUVERGNE
68720,HAUT-RHIN,ALSACE
71140,SAONE-ET-LOIRE,BOURGOGNE
14210,CALVADOS,BASSE-NORMANDIE
50700,MANCHE,BASSE-NORMANDIE
6540,ALPES-MARITIMES,PROVENCE-ALPES-COTE D'AZUR
59300,NORD,NORD-PAS-DE-CALAIS
2000,AISNE,PICARDIE
62610,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
64160,PYRENEES-ATLANTIQUES,AQUITAINE
41700,LOIR-ET-CHER,CENTRE
19500,CORREZE,LIMOUSIN
67260,BAS-RHIN,ALSACE
55110,MEUSE,LORRAINE
9240,ARIEGE,MIDI-PYRENEES
35111,ILLE-ET-VILAINE,BRETAGNE
35230,ILLE-ET-VILAINE,BRETAGNE
60480,OISE,PICARDIE
20230,HAUTE-CORSE,CORSE
4420,ALPES-DE-HAUTE-PROVENCE,PROVENCE-ALPES-COTE D'AZUR
66360,PYRENEES-ORIENTALES,LANGUEDOC-ROUSSILLON
2420,AISNE,PICARDIE
89100,YONNE,BOURGOGNE
34980,HERAULT,LANGUEDOC-ROUSSILLON
74000,HAUTE-SAVOIE,RHONE-ALPES
71580,SAONE-ET-LOIRE,BOURGOGNE
35370,ILLE-ET-VILAINE,BRETAGNE
29980,FINISTERE,BRETAGNE
27300,EURE,HAUTE-NORMANDIE
14320,CALVADOS,BASSE-NORMANDIE
24150,DORDOGNE,AQUITAINE
76750,SEINE-MARITIME,HAUTE-NORMANDIE
67260,BAS-RHIN,ALSACE
44140,LOIRE-ATLANTIQUE,PAYS DE LA LOIRE
12390,AVEYRON,MIDI-PYRENEES
49630,MAINE-ET-LOIRE,PAYS DE LA LOIRE
45390,LOIRET,CENTRE
61160,ORNE,BASSE-NORMANDIE
30190,GARD,LANGUEDOC-ROUSSILLON
18160,CHER,CENTRE
80430,SOMME,PICARDIE
58370,NIEVRE,BOURGOGNE
67150,BAS-RHIN,ALSACE
2160,AISNE,PICARDIE
25500,DOUBS,FRANCHE-COMTE
20167,CORSE-DU-SUD,CORSE
35460,ILLE-ET-VILAINE,BRETAGNE
55110,MEUSE,LORRAINE
77260,SEINE-ET-MARNE,ILE-DE-FRANCE
64800,PYRENEES-ATLANTIQUES,AQUITAINE
13660,BOUCHES-DU-RHONE,PROVENCE-ALPES-COTE D'AZUR
39270,JURA,FRANCHE-COMTE
60650,OISE,PICARDIE
3140,ALLIER,AUVERGNE
31780,HAUTE-GARONNE,MIDI-PYRENEES
47600,LOT-ET-GARONNE,AQUITAINE
57840,MOSELLE,LORRAINE
54115,MEURTHE-ET-MOSELLE,LORRAINE
77640,SEINE-ET-MARNE,ILE-DE-FRANCE
16250,CHARENTE,POITOU-CHARENTES
21520,COTE-D'OR,BOURGOGNE
76590,SEINE-MARITIME,HAUTE-NORMANDIE
58000,NIEVRE,BOURGOGNE
59440,NORD,NORD-PAS-DE-CALAIS
60240,OISE,PICARDIE
88140,VOSGES,LORRAINE
1960,AIN,RHONE-ALPES
20152,CORSE-DU-SUD,CORSE
88160,VOSGES,LORRAINE
42820,LOIRE,RHONE-ALPES
67350,BAS-RHIN,ALSACE
2340,AISNE,PICARDIE
60170,OISE,PICARDIE
80640,SOMME,PICARDIE
35520,ILLE-ET-VILAINE,BRETAGNE
55200,MEUSE,LORRAINE
12290,AVEYRON,MIDI-PYRENEES
35137,ILLE-ET-VILAINE,BRETAGNE
64450,PYRENEES-ATLANTIQUES,AQUITAINE
60220,OISE,PICARDIE
54450,MEURTHE-ET-MOSELLE,LORRAINE
40120,LANDES,AQUITAINE
26760,DROME,RHONE-ALPES
57220,MOSELLE,LORRAINE
33650,GIRONDE,AQUITAINE
80700,SOMME,PICARDIE
80470,SOMME,PICARDIE
21250,COTE-D'OR,BOURGOGNE
85480,VENDEE,PAYS DE LA LOIRE
14680,CALVADOS,BASSE-NORMANDIE
70000,HAUTE-SAONE,FRANCHE-COMTE
8400,ARDENNES,CHAMPAGNE-ARDENNE
79390,DEUX-SEVRES,POITOU-CHARENTES
68220,HAUT-RHIN,ALSACE
24390,DORDOGNE,AQUITAINE
69220,RHONE,RHONE-ALPES
36110,INDRE,CENTRE
7270,ARDECHE,RHONE-ALPES
25330,DOUBS,FRANCHE-COMTE
51500,MARNE,CHAMPAGNE-ARDENNE
86350,VIENNE,POITOU-CHARENTES
21121,COTE-D'OR,BOURGOGNE
77111,SEINE-ET-MARNE,ILE-DE-FRANCE
62540,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
66210,PYRENEES-ORIENTALES,LANGUEDOC-ROUSSILLON
79330,DEUX-SEVRES,POITOU-CHARENTES
1270,AIN,RHONE-ALPES
27340,EURE,HAUTE-NORMANDIE
27800,EURE,HAUTE-NORMANDIE
10700,AUBE,CHAMPAGNE-ARDENNE
59141,NORD,NORD-PAS-DE-CALAIS
70100,HAUTE-SAONE,FRANCHE-COMTE
27800,EURE,HAUTE-NORMANDIE
64390,PYRENEES-ATLANTIQUES,AQUITAINE
63190,PUY-DE-DOME,AUVERGNE
94340,VAL-DE-MARNE,ILE-DE-FRANCE
55100,MEUSE,LORRAINE
62310,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
80340,SOMME,PICARDIE
31120,HAUTE-GARONNE,MIDI-PYRENEES
30140,GARD,LANGUEDOC-ROUSSILLON
61600,ORNE,BASSE-NORMANDIE
54540,MEURTHE-ET-MOSELLE,LORRAINE
16390,CHARENTE,POITOU-CHARENTES
51150,MARNE,CHAMPAGNE-ARDENNE
43230,HAUTE-LOIRE,AUVERGNE
19220,CORREZE,LIMOUSIN
28360,EURE-ET-LOIR,CENTRE
77370,SEINE-ET-MARNE,ILE-DE-FRANCE
71110,SAONE-ET-LOIRE,BOURGOGNE
26140,DROME,RHONE-ALPES
71490,SAONE-ET-LOIRE,BOURGOGNE
25300,DOUBS,FRANCHE-COMTE
65150,HAUTES-PYRENEES,MIDI-PYRENEES
16500,CHARENTE,POITOU-CHARENTES
82440,TARN-ET-GARONNE,MIDI-PYRENEES
71110,SAONE-ET-LOIRE,BOURGOGNE
89120,YONNE,BOURGOGNE
10110,AUBE,CHAMPAGNE-ARDENNE
2600,AISNE,PICARDIE
27400,EURE,HAUTE-NORMANDIE
70100,HAUTE-SAONE,FRANCHE-COMTE
76680,SEINE-MARITIME,HAUTE-NORMANDIE
29450,FINISTERE,BRETAGNE
10240,AUBE,CHAMPAGNE-ARDENNE
45290,LOIRET,CENTRE
54120,MEURTHE-ET-MOSELLE,LORRAINE
40190,LANDES,AQUITAINE
62124,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
16480,CHARENTE,POITOU-CHARENTES
21700,COTE-D'OR,BOURGOGNE
22250,COTES-D'ARMOR,BRETAGNE
93700,SEINE-SAINT-DENIS,ILE-DE-FRANCE
17390,CHARENTE-MARITIME,POITOU-CHARENTES
25520,DOUBS,FRANCHE-COMTE
39120,JURA,FRANCHE-COMTE
12440,AVEYRON,MIDI-PYRENEES
2240,AISNE,PICARDIE
5340,HAUTES-ALPES,PROVENCE-ALPES-COTE D'AZUR
25440,DOUBS,FRANCHE-COMTE
57670,MOSELLE,LORRAINE
86310,VIENNE,POITOU-CHARENTES
49120,MAINE-ET-LOIRE,PAYS DE LA LOIRE
26130,DROME,RHONE-ALPES
4870,ALPES-DE-HAUTE-PROVENCE,PROVENCE-ALPES-COTE D'AZUR
27310,EURE,HAUTE-NORMANDIE
16590,CHARENTE,POITOU-CHARENTES
29440,FINISTERE,BRETAGNE
42840,LOIRE,RHONE-ALPES
52500,HAUTE-MARNE,CHAMPAGNE-ARDENNE
50750,MANCHE,BASSE-NORMANDIE
16140,CHARENTE,POITOU-CHARENTES
3470,ALLIER,AUVERGNE
76660,SEINE-MARITIME,HAUTE-NORMANDIE
67880,BAS-RHIN,ALSACE
89110,YONNE,BOURGOGNE
25240,DOUBS,FRANCHE-COMTE
69380,RHONE,RHONE-ALPES
21210,COTE-D'OR,BOURGOGNE
26800,DROME,RHONE-ALPES
30350,GARD,LANGUEDOC-ROUSSILLON
62740,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
60300,OISE,PICARDIE
8220,ARDENNES,CHAMPAGNE-ARDENNE
34600,HERAULT,LANGUEDOC-ROUSSILLON
87140,HAUTE-VIENNE,LIMOUSIN
72600,SARTHE,PAYS DE LA LOIRE
81540,TARN,MIDI-PYRENEES
27950,EURE,HAUTE-NORMANDIE
10110,AUBE,CHAMPAGNE-ARDENNE
78630,YVELINES,ILE-DE-FRANCE
72170,SARTHE,PAYS DE LA LOIRE
80135,SOMME,PICARDIE
14230,CALVADOS,BASSE-NORMANDIE
66360,PYRENEES-ORIENTALES,LANGUEDOC-ROUSSILLON
12210,AVEYRON,MIDI-PYRENEES
76260,SEINE-MARITIME,HAUTE-NORMANDIE
72610,SARTHE,PAYS DE LA LOIRE
29600,FINISTERE,BRETAGNE
77181,SEINE-ET-MARNE,ILE-DE-FRANCE
20270,HAUTE-CORSE,CORSE
89360,YONNE,BOURGOGNE
57660,MOSELLE,LORRAINE
21460,COTE-D'OR,BOURGOGNE
23350,CREUSE,LIMOUSIN
36150,INDRE,CENTRE
48370,LOZERE,LANGUEDOC-ROUSSILLON
83700,VAR,PROVENCE-ALPES-COTE D'AZUR
71600,SAONE-ET-LOIRE,BOURGOGNE
21500,COTE-D'OR,BOURGOGNE
8260,ARDENNES,CHAMPAGNE-ARDENNE
88630,VOSGES,LORRAINE
71220,SAONE-ET-LOIRE,BOURGOGNE
18400,CHER,CENTRE
64130,PYRENEES-ATLANTIQUES,AQUITAINE
38530,ISERE,RHONE-ALPES
32300,GERS,MIDI-PYRENEES
45410,LOIRET,CENTRE
24310,DORDOGNE,AQUITAINE
